event_id,name,category,date,start_hour,duration_hr,rooms,expected_attendance,actual_attendance,food_ordered_servings,food_waste_lbs,energy_kwh,notes
EVT-036,Band Concert,arts,2026-03-02,17,4.1,Gym,214,202,192,20.0,78.7,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-010,Math Competition,competition,2026-03-05,17,1.9,Library,211,184,211,34.6,34.6,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-013,Basketball Game,sports,2026-03-07,9,1.0,Auditorium,197,139,177,14.9,15.2,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-038,Science Olympiad,competition,2026-03-07,9,2.5,Library,177,221,177,12.1,37.1,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-031,Robotics Meeting,club,2026-03-08,9,3.3,Auditorium,188,151,150,9.8,52.0,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-019,Math Competition,competition,2026-03-09,16,3.2,Auditorium,267,209,293,21.7,63.9,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-022,Volleyball Game,sports,2026-03-10,15,3.1,Auditorium,78,88,62,0.0,34.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-034,Science Olympiad,competition,2026-03-10,15,1.1,Library,160,136,128,10.7,16.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-001,STEM Family Night,family_night,2026-03-15,9,2.3,Cafeteria,222,227,199,16.7,44.1,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-021,Practice SAT,testing,2026-03-16,16,2.2,Auditorium,139,103,111,11.5,30.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-017,Green Team Workshop,club,2026-03-20,17,1.0,Auditorium,209,203,167,2.8,15.9,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-026,Robotics Meeting,club,2026-03-25,18,2.5,Auditorium,249,217,273,35.3,52.7,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-020,Mock Exams,testing,2026-03-28,10,2.7,Cafeteria,153,164,168,5.1,42.0,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-011,College Night,assembly,2026-03-28,17,4.1,Library,128,117,140,14.2,66.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-032,Theater Showcase,arts,2026-04-01,15,2.0,Science Lab,152,104,121,13.1,31.9,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-035,Soccer Banquet,sports,2026-04-01,17,1.7,Cafeteria,150,134,135,10.7,25.1,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-037,Guest Speaker,assembly,2026-04-06,16,2.3,Cafeteria,201,123,180,26.0,40.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-007,Robotics Tournament,competition,2026-04-07,15,1.1,Auditorium,102,117,81,0.3,17.3,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-018,Science Olympiad,competition,2026-04-09,16,1.8,Gym,147,149,132,0.7,24.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-008,Awards Assembly,assembly,2026-04-15,16,2.5,Cafeteria,160,110,128,8.9,43.1,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-005,Basketball Game,sports,2026-04-15,17,1.0,Science Lab,200,128,200,27.3,17.7,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-009,Practice SAT,testing,2026-04-18,13,2.5,Science Lab,133,97,119,13.2,41.3,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-004,Curriculum Night,family_night,2026-04-24,17,2.0,Cafeteria,226,191,203,25.1,32.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-029,College Night,assembly,2026-04-28,17,1.9,Library,111,118,122,11.6,31.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-014,Theater Showcase,arts,2026-04-29,17,3.1,Science Lab,196,185,156,1.6,59.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-024,Science Olympiad,competition,2026-04-30,18,2.7,Auditorium,125,145,100,4.0,39.1,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-028,AP Review Session,testing,2026-05-02,17,3.7,Auditorium,210,175,231,15.9,56.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-016,College Night,assembly,2026-05-04,16,2.0,Science Lab,118,128,94,0.0,30.6,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-030,STEM Family Night,family_night,2026-05-09,9,1.9,Cafeteria,207,207,165,12.3,37.7,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-040,Robotics Meeting,club,2026-05-09,9,3.4,Cafeteria,80,83,72,2.6,42.9,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-027,Practice SAT,testing,2026-05-10,9,1.0,Gym,187,165,149,0.0,18.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-006,Volleyball Game,sports,2026-05-10,13,1.5,Science Lab,132,128,132,10.2,19.3,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-002,Soccer Banquet,sports,2026-05-15,18,2.2,Gym,309,272,247,19.1,48.0,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-015,Math Competition,competition,2026-05-22,17,2.1,Gym,170,116,170,22.2,39.3,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-033,Green Team Workshop,club,2026-05-25,17,2.6,Auditorium,205,188,205,21.6,43.4,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-023,Awards Assembly,assembly,2026-05-25,18,3.3,Auditorium,173,169,155,5.5,55.9,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-003,Robotics Meeting,club,2026-05-31,17,3.1,Auditorium,314,265,345,44.0,59.0,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-025,Robotics Tournament,competition,2026-06-02,15,3.8,Gym,176,88,140,18.5,70.2,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-039,NHS Service Night,club,2026-06-03,18,2.7,Science Lab,163,149,179,13.3,49.8,Synthetic event outcome used to demonstrate year-over-year planning memory.
EVT-012,Guest Speaker,assembly,2026-06-04,18,3.1,Science Lab,90,65,99,18.7,36.7,Synthetic event outcome used to demonstrate year-over-year planning memory.
